plant_id,name,temperature,soil_moisture,last_watered,recording_taken,latitude,longitude,origin_city,origin_country,botanist_name,botanist_email,botanist_phone,scientific_name
1,Venus flytrap,13.677424485111418,91.32776126558005,2025-09-22T13:51:41.000Z,2025-09-22T16:22:26.145Z,43.74,-11.5098,Stammside,Albania,Kenneth Buckridge,kenneth.buckridge@lnhm.co.uk,763.914.8635 x57724,
2,Corpse flower,13.72293365537764,95.13739806763284,2025-09-22T14:58:34.000Z,2025-09-22T16:22:26.793Z,47.8428,-48.7087,Floshire,American Samoa,Ms. Diana King,ms..diana.king@lnhm.co.uk,673.641.8851,
3,Rafflesia arnoldii,15.412439287327365,91.57108479532164,2025-09-22T13:58:19.000Z,2025-09-22T16:22:27.067Z,-25.4878,-36.1349,Dale City,Mozambique,Eduardo Okuneva II,eduardo.okuneva.ii@lnhm.co.uk,408-816-2276 x87051,
4,Black bat flower,15.991942378006215,94.91595976447498,2025-09-22T14:56:07.000Z,2025-09-22T16:22:27.637Z,63.3661,46.4049,West Tedboro,Taiwan,Wilson Welch,wilson.welch@lnhm.co.uk,(953) 607-4239 x328,
5,Pitcher plant,58.96185938001635,91.68735938989514,2025-09-22T13:57:08.000Z,2025-09-22T16:22:27.960Z,82.8917,0.6279,North Felicia,Saint Kitts and Nevis,Benny Block,benny.block@lnhm.co.uk,687-647-1094,Sarracenia catesbaei
6,Wollemi pine,14.844524522183605,88.8944911627907,2025-09-22T13:03:31.000Z,2025-09-22T16:22:29.422Z,-40.3521,-12.1055,Ferryfort,Mauritius,Iris Jenkins,iris.jenkins@lnhm.co.uk,288.875.3012 x4682,Wollemia nobilis
8,Bird of paradise,15.56861394033429,90.55812279069767,2025-09-22T13:33:20.000Z,2025-09-22T16:22:30.018Z,54.1635,8.6662,Edwardfurt,Liberia,Bradford Mitchell DVM,bradford.mitchell.dvm@lnhm.co.uk,(230) 859-2277 x3537,Heliconia schiedeana 'Fire and Ice'
9,Cactus,11.999735819206352,93.09604225352112,2025-09-22T14:19:58.000Z,2025-09-22T16:22:30.715Z,22.1228,-11.0358,Port Johan,Cayman Islands,Jo Baumbach,jo.baumbach@lnhm.co.uk,976-364-3090,Pereskia grandifolia
10,Dragon tree,13.408723160425405,93.01807339449542,2025-09-22T14:15:42.000Z,2025-09-22T16:22:32.300Z,-85.7462,178.9976,North Adriel,Nicaragua,Terrance Leuschke,terrance.leuschke@lnhm.co.uk,1-661-425-6823 x4455,
11,Asclepias Curassavica,15.858469668582238,89.97341609421001,2025-09-22T13:32:16.000Z,2025-09-22T16:22:33.089Z,89.0252,-108.526,Dorianland,Mali,Chester Smith,chester.smith@lnhm.co.uk,1-730-711-3377 x08275,Asclepias curassavica
12,Brugmansia X Candida,15.160715232992684,90.21413676042677,2025-09-22T13:34:25.000Z,2025-09-22T16:22:34.225Z,86.2589,-108.5545,Fort Maya,Wallis and Futuna,Kenneth Murphy,kenneth.murphy@lnhm.co.uk,(682) 358-8815 x08653,
13,Canna ‘Striata’,14.32461528323993,94.74248587055607,2025-09-22T14:46:28.000Z,2025-09-22T16:22:35.493Z,26.7106,54.0918,Annaboro,French Southern Territories,Irma Ortiz Jr.,irma.ortiz.jr.@lnhm.co.uk,(456) 348-3790 x868,
14,Colocasia Esculenta,14.353035982961565,90.4119292929293,2025-09-22T13:28:35.000Z,2025-09-22T16:22:36.409Z,-54.9306,81.3907,Felixberg,Canada,Kathy Haley,kathy.haley@lnhm.co.uk,(514) 473-7641 x14748,Colocasia esculenta
15,Cuphea ‘David Verity’,15.505351311912735,92.7326541062802,2025-09-22T14:17:16.000Z,2025-09-22T16:22:37.703Z,-22.6373,100.898,New Clark,Cayman Islands,Jacob Jacobi,jacob.jacobi@lnhm.co.uk,(459) 933-0647,
16,Euphorbia Cotinifolia,16.409751512231555,87.95482142857142,2025-09-22T14:02:07.000Z,2025-09-22T16:22:38.625Z,-60.739,39.0588,Boscomouth,Norway,Gordon Boehm,gordon.boehm@lnhm.co.uk,464.633.6597 x7370,Euphorbia cotinifolia
